damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
1,40.0,0,0,0,0,0,0,0,0,1,0,12,2,6,6,18,10,12,48,8,8,14,2,10,2,6,6,12,18,2,2,0,2,4,4,6,8,14,10,48,7.2844,0.25
1,46.0,0,0,0,0,0,0,0,0,1,0,6,2,8,8,4,10,10,98,6,8,12,4,10,2,6,4,12,18,2,2,4,6,6,8,6,8,6,2,14,6.8935,0.25
1,48.5,0,0,3,0,0,0,0,0,1,0,6,2,6,8,4,10,12,136,8,8,14,2,10,0,4,4,12,16,4,4,4,6,4,4,8,10,20,36,42,8.6086,0.5
5,38.0,0,2,0,0,0,0,0,0,1,1,6,2,6,6,4,10,12,62,6,6,11,5,8,4,6,4,12,17,2,2,3,5,6,6,7,9,14,21,25,2732.1267000000003,3.0
1,41.8,3,2,0,0,0,0,0,0,2,0,4,2,6,8,10,10,12,90,6,8,12,2,10,4,4,4,12,12,2,2,2,4,4,4,6,8,14,0,62,2.3096,0.5
1,44.0,3,0,0,0,0,0,0,0,1,1,4,2,4,8,6,10,12,114,8,8,12,2,10,2,4,4,12,10,4,4,6,8,4,4,6,8,4,32,36,6.2424,0.5
1,35.0,0,1,1,0,0,0,0,0,2,0,6,2,6,6,6,10,8,189,8,8,14,4,10,4,6,6,4,6,2,2,2,4,4,4,4,6,4,6,71,13.1322,0.3
1,36.0,0,1,1,0,0,0,0,0,2,0,4,2,6,6,4,10,10,112,8,8,14,4,10,4,6,6,12,8,2,2,2,4,4,4,6,8,16,0,66,0.6532,0.3
1,37.0,0,1,1,0,0,0,0,0,2,1,12,2,8,6,6,10,10,406,8,8,14,6,8,4,6,6,12,18,2,2,2,4,4,4,6,8,18,0,62,2.1159,0.3
6,38.0,0,2,0,0,0,0,0,0,1,0,4,2,6,6,4,10,12,105,8,8,14,3,11,4,4,4,4,6,2,2,2,4,5,5,6,8,14,8,28,146.98,3.0
